city_state,city,state,year,id,holc_polygon,holc_grade,lat,lon,sum_bird_obs
"Birmingham, AL",Birmingham,AL,2021,AL_Birmingham_A1_A_1,AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,268
"Birmingham, AL",Birmingham,AL,1995,AL_Birmingham_A1_A_1,AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,1
"Birmingham, AL",Birmingham,AL,2020,AL_Birmingham_A1_A_1,AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,141
"Birmingham, AL",Birmingham,AL,2019,AL_Birmingham_A1_A_1,AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,6
"Birmingham, AL",Birmingham,AL,2018,AL_Birmingham_A1_A_1,AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,24
"Birmingham, AL",Birmingham,AL,2017,AL_Birmingham_A1_A_1,AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,38
"Birmingham, AL",Birmingham,AL,2016,AL_Birmingham_A1_A_1,AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,73
"Birmingham, AL",Birmingham,AL,2015,AL_Birmingham_A1_A_1,AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,33
"Birmingham, AL",Birmingham,AL,2007,AL_Birmingham_A1_A_1,AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,128
"Birmingham, AL",Birmingham,AL,2006,AL_Birmingham_A1_A_1,AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,37
"Birmingham, AL",Birmingham,AL,2013,AL_Birmingham_A1_A_1,AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,56
"Birmingham, AL",Birmingham,AL,2012,AL_Birmingham_A1_A_1,AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,19
"Birmingham, AL",Birmingham,AL,2004,AL_Birmingham_A1_A_1,AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,155
"Birmingham, AL",Birmingham,AL,2011,AL_Birmingham_A1_A_1,AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,1
"Birmingham, AL",Birmingham,AL,2008,AL_Birmingham_A1_A_1,AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,197
"Birmingham, AL",Birmingham,AL,2009,AL_Birmingham_A1_A_1,AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,116
"Birmingham, AL",Birmingham,AL,2005,AL_Birmingham_A1_A_1,AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,34
"Birmingham, AL",Birmingham,AL,1998,AL_Birmingham_A1_A_1,AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,96
"Birmingham, AL",Birmingham,AL,2002,AL_Birmingham_A1_A_1,AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,89
"Birmingham, AL",Birmingham,AL,2003,AL_Birmingham_A1_A_1,AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,82
"Birmingham, AL",Birmingham,AL,2001,AL_Birmingham_A1_A_1,AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,91
"Birmingham, AL",Birmingham,AL,2000,AL_Birmingham_A1_A_1,AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,131
"Birmingham, AL",Birmingham,AL,1999,AL_Birmingham_A1_A_1,AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,93
"Birmingham, AL",Birmingham,AL,2021,AL_Birmingham_A2_A_2,AL_Birmingham_A2_A_2_Aves_all_observations,A,33.500404,-86.77429,15
"Birmingham, AL",Birmingham,AL,2020,AL_Birmingham_A2_A_2,AL_Birmingham_A2_A_2_Aves_all_observations,A,33.500404,-86.77429,29
"Birmingham, AL",Birmingham,AL,2018,AL_Birmingham_A2_A_2,AL_Birmingham_A2_A_2_Aves_all_observations,A,33.500404,-86.77429,9
"Birmingham, AL",Birmingham,AL,1992,AL_Birmingham_A2_A_2,AL_Birmingham_A2_A_2_Aves_all_observations,A,33.500404,-86.77429,1
"Birmingham, AL",Birmingham,AL,2017,AL_Birmingham_A2_A_2,AL_Birmingham_A2_A_2_Aves_all_observations,A,33.500404,-86.77429,11
"Birmingham, AL",Birmingham,AL,1976,AL_Birmingham_A2_A_2,AL_Birmingham_A2_A_2_Aves_all_observations,A,33.500404,-86.77429,5
"Birmingham, AL",Birmingham,AL,2009,AL_Birmingham_A2_A_2,AL_Birmingham_A2_A_2_Aves_all_observations,A,33.500404,-86.77429,23
"Birmingham, AL",Birmingham,AL,2013,AL_Birmingham_A2_A_2,AL_Birmingham_A2_A_2_Aves_all_observations,A,33.500404,-86.77429,37
"Birmingham, AL",Birmingham,AL,1977,AL_Birmingham_A3_A_3,AL_Birmingham_A3_A_3_Aves_all_observations,A,33.501007,-86.752144,24
"Birmingham, AL",Birmingham,AL,2016,AL_Birmingham_A3_A_3,AL_Birmingham_A3_A_3_Aves_all_observations,A,33.501007,-86.752144,6
"Birmingham, AL",Birmingham,AL,2014,AL_Birmingham_A3_A_3,AL_Birmingham_A3_A_3_Aves_all_observations,A,33.501007,-86.752144,1
"Birmingham, AL",Birmingham,AL,1999,AL_Birmingham_A3_A_3,AL_Birmingham_A3_A_3_Aves_all_observations,A,33.501007,-86.752144,1
"Birmingham, AL",Birmingham,AL,2007,AL_Birmingham_A3_A_3,AL_Birmingham_A3_A_3_Aves_all_observations,A,33.501007,-86.752144,34
"Birmingham, AL",Birmingham,AL,2012,AL_Birmingham_A3_A_3,AL_Birmingham_A3_A_3_Aves_all_observations,A,33.501007,-86.752144,1
"Birmingham, AL",Birmingham,AL,2009,AL_Birmingham_A3_A_3,AL_Birmingham_A3_A_3_Aves_all_observations,A,33.501007,-86.752144,23
"Birmingham, AL",Birmingham,AL,2008,AL_Birmingham_A3_A_3,AL_Birmingham_A3_A_3_Aves_all_observations,A,33.501007,-86.752144,86
"Birmingham, AL",Birmingham,AL,2004,AL_Birmingham_A3_A_3,AL_Birmingham_A3_A_3_Aves_all_observations,A,33.501007,-86.752144,14
"Birmingham, AL",Birmingham,AL,2021,AL_Birmingham_B1_B_4,AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,1010
"Birmingham, AL",Birmingham,AL,2017,AL_Birmingham_B1_B_4,AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,115
"Birmingham, AL",Birmingham,AL,2016,AL_Birmingham_B1_B_4,AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,109
"Birmingham, AL",Birmingham,AL,2022,AL_Birmingham_B1_B_4,AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,1
"Birmingham, AL",Birmingham,AL,2020,AL_Birmingham_B1_B_4,AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,2044
"Birmingham, AL",Birmingham,AL,2019,AL_Birmingham_B1_B_4,AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,3528
"Birmingham, AL",Birmingham,AL,2018,AL_Birmingham_B1_B_4,AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,85
"Birmingham, AL",Birmingham,AL,2015,AL_Birmingham_B1_B_4,AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,207
"Birmingham, AL",Birmingham,AL,2014,AL_Birmingham_B1_B_4,AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,100
