city_state,city,state,year,collectionCode,id,id2,holc_polygon,holc_grade,lat,lon,area_holc_km2,sum_bird_obs
"Birmingham, AL",Birmingham,AL,2020,other,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,104
"Birmingham, AL",Birmingham,AL,2020,ebird,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,34
"Birmingham, AL",Birmingham,AL,2020,iNaturalist,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,3
"Birmingham, AL",Birmingham,AL,2019,ebird,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,5
"Birmingham, AL",Birmingham,AL,2019,iNaturalist,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,1
"Birmingham, AL",Birmingham,AL,2018,ebird,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,23
"Birmingham, AL",Birmingham,AL,2017,ebird,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,38
"Birmingham, AL",Birmingham,AL,2018,iNaturalist,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,1
"Birmingham, AL",Birmingham,AL,2016,ebird,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,72
"Birmingham, AL",Birmingham,AL,2015,ebird,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,33
"Birmingham, AL",Birmingham,AL,2016,iNaturalist,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,1
"Birmingham, AL",Birmingham,AL,2007,ebird,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,128
"Birmingham, AL",Birmingham,AL,2006,ebird,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,37
"Birmingham, AL",Birmingham,AL,2013,ebird,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,56
"Birmingham, AL",Birmingham,AL,2012,ebird,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,19
"Birmingham, AL",Birmingham,AL,2004,ebird,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,155
"Birmingham, AL",Birmingham,AL,2011,ebird,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,1
"Birmingham, AL",Birmingham,AL,2008,ebird,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,197
"Birmingham, AL",Birmingham,AL,2009,ebird,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,116
"Birmingham, AL",Birmingham,AL,2005,ebird,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,34
"Birmingham, AL",Birmingham,AL,2002,ebird,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,89
"Birmingham, AL",Birmingham,AL,2003,ebird,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,82
"Birmingham, AL",Birmingham,AL,2001,ebird,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,91
"Birmingham, AL",Birmingham,AL,2000,ebird,AL_Birmingham_A1_A_1,"Birmingham, AL A1",AL_Birmingham_A1_A_1_Aves_all_observations,A,33.479385,-86.75986,4.75309127395459,131
"Birmingham, AL",Birmingham,AL,2020,ebird,AL_Birmingham_A2_A_2,"Birmingham, AL A2",AL_Birmingham_A2_A_2_Aves_all_observations,A,33.500404,-86.77429,2.66811689345651,29
"Birmingham, AL",Birmingham,AL,2018,ebird,AL_Birmingham_A2_A_2,"Birmingham, AL A2",AL_Birmingham_A2_A_2_Aves_all_observations,A,33.500404,-86.77429,2.66811689345651,9
"Birmingham, AL",Birmingham,AL,2017,ebird,AL_Birmingham_A2_A_2,"Birmingham, AL A2",AL_Birmingham_A2_A_2_Aves_all_observations,A,33.500404,-86.77429,2.66811689345651,11
"Birmingham, AL",Birmingham,AL,2009,ebird,AL_Birmingham_A2_A_2,"Birmingham, AL A2",AL_Birmingham_A2_A_2_Aves_all_observations,A,33.500404,-86.77429,2.66811689345651,23
"Birmingham, AL",Birmingham,AL,2013,ebird,AL_Birmingham_A2_A_2,"Birmingham, AL A2",AL_Birmingham_A2_A_2_Aves_all_observations,A,33.500404,-86.77429,2.66811689345651,37
"Birmingham, AL",Birmingham,AL,2016,iNaturalist,AL_Birmingham_A3_A_3,"Birmingham, AL A3",AL_Birmingham_A3_A_3_Aves_all_observations,A,33.501007,-86.752144,1.2424122172628,6
"Birmingham, AL",Birmingham,AL,2014,ebird,AL_Birmingham_A3_A_3,"Birmingham, AL A3",AL_Birmingham_A3_A_3_Aves_all_observations,A,33.501007,-86.752144,1.2424122172628,1
"Birmingham, AL",Birmingham,AL,2007,ebird,AL_Birmingham_A3_A_3,"Birmingham, AL A3",AL_Birmingham_A3_A_3_Aves_all_observations,A,33.501007,-86.752144,1.2424122172628,34
"Birmingham, AL",Birmingham,AL,2012,ebird,AL_Birmingham_A3_A_3,"Birmingham, AL A3",AL_Birmingham_A3_A_3_Aves_all_observations,A,33.501007,-86.752144,1.2424122172628,1
"Birmingham, AL",Birmingham,AL,2009,ebird,AL_Birmingham_A3_A_3,"Birmingham, AL A3",AL_Birmingham_A3_A_3_Aves_all_observations,A,33.501007,-86.752144,1.2424122172628,23
"Birmingham, AL",Birmingham,AL,2008,ebird,AL_Birmingham_A3_A_3,"Birmingham, AL A3",AL_Birmingham_A3_A_3_Aves_all_observations,A,33.501007,-86.752144,1.2424122172628,86
"Birmingham, AL",Birmingham,AL,2004,ebird,AL_Birmingham_A3_A_3,"Birmingham, AL A3",AL_Birmingham_A3_A_3_Aves_all_observations,A,33.501007,-86.752144,1.2424122172628,14
"Birmingham, AL",Birmingham,AL,2017,ebird,AL_Birmingham_B1_B_4,"Birmingham, AL B1",AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,4.53855606333631,115
"Birmingham, AL",Birmingham,AL,2016,ebird,AL_Birmingham_B1_B_4,"Birmingham, AL B1",AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,4.53855606333631,105
"Birmingham, AL",Birmingham,AL,2016,other,AL_Birmingham_B1_B_4,"Birmingham, AL B1",AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,4.53855606333631,4
"Birmingham, AL",Birmingham,AL,2020,ebird,AL_Birmingham_B1_B_4,"Birmingham, AL B1",AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,4.53855606333631,1149
"Birmingham, AL",Birmingham,AL,2020,other,AL_Birmingham_B1_B_4,"Birmingham, AL B1",AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,4.53855606333631,883
"Birmingham, AL",Birmingham,AL,2019,other,AL_Birmingham_B1_B_4,"Birmingham, AL B1",AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,4.53855606333631,3340
"Birmingham, AL",Birmingham,AL,2019,ebird,AL_Birmingham_B1_B_4,"Birmingham, AL B1",AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,4.53855606333631,186
"Birmingham, AL",Birmingham,AL,2020,iNaturalist,AL_Birmingham_B1_B_4,"Birmingham, AL B1",AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,4.53855606333631,12
"Birmingham, AL",Birmingham,AL,2019,iNaturalist,AL_Birmingham_B1_B_4,"Birmingham, AL B1",AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,4.53855606333631,2
"Birmingham, AL",Birmingham,AL,2018,ebird,AL_Birmingham_B1_B_4,"Birmingham, AL B1",AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,4.53855606333631,85
