city_state	lat	lon
Akron, OH	41.073056	-81.517778
Albany, NY	42.6525	-73.757222
Altoona, PA	40.51	-78.4
Amarillo, TX	35.199167	-101.845278
Arlington, MA	42.415278	-71.156944
Asheville, NC	35.595556	-82.551944
Atlanta, GA	33.748889	-84.39
Atlantic City, NJ	39.3625	-74.425
Augusta, GA	33.47	-81.975
Aurora, IL	41.763889	-88.29
Austin, TX	30.267222	-97.743056
Baltimore, MD	39.289444	-76.615278
Battle Creek, MI	42.312222	-85.204167
Bay City, MI	43.595	-83.888611
Beaumont, TX	30.08	-94.126667
Belmont, MA	42.395833	-71.179167
Bergen Co., NJ	40.96	-74.07
Bethlehem, PA	40.626111	-75.375556
Binghamton-Johnson City, NY	42.098889	-75.910833
Birmingham, AL	33.5175	-86.809444
Boston, MA	42.360278	-71.057778
Braintree, MA	42.206	-71.005
Brockton, MA	42.083333	-71.018889
Bronx, NY	40.837222	-73.886111
Brookline, MA	42.331667	-71.121667
Brooklyn, NY	40.65	-73.95
Buffalo, NY	42.886389	-78.878056
Cambridge, MA	42.373611	-71.110556
Camden, NJ	39.94	-75.105
Canton, OH	40.807778	-81.395556
Cleveland, OH	41.499167	-81.694722
Columbia, SC	34.000556	-81.034722
Columbus, GA	32.492222	-84.940278
Columbus, OH	39.962222	-83.000556
Council Bluffs, IA	41.236667	-95.851944
Covington, KY	39.033333	-84.516667
Dallas, TX	32.779167	-96.808889
Davenport, IA	41.543056	-90.590833
Dayton, OH	39.759444	-84.191667
Decatur, IL	39.841422	-88.955881
Dedham, MA	42.241667	-71.166667
Denver, CO	39.7392	-104.9849
Des Moines, IA	41.590833	-93.620833
Detroit, MI	42.333333	-83.05
Dubuque, IA	42.499722	-90.723611
Duluth, MN	46.783272	-92.106578
Durham, NC	35.978611	-78.9
East St. Louis, IL	38.625	-90.1575
El Paso, TX	31.759167	-106.488611
Elmira, NY	42.093889	-76.809722
Erie, PA	42.129444	-80.085
Essex Co., NJ	40.79	-74.25
Evansville, IN	37.977222	-87.550556
Everett, MA	42.408333	-71.054167
Flint, MI	43.02442	-83.691971
Fort Wayne, IN	41.088889	-85.161389
Fort Worth, TX	32.756389	-97.3325
Fresno, CA	36.75	-119.766667
Galveston, TX	29.301389	-94.797778
Grand Rapids, MI	42.963333	-85.667778
Greater Kansas City, MO	39.1	-94.58
Greensboro, NC	36.095	-79.825833
Hamilton, OH	39.382778	-84.561389
Harrisburg, PA	40.269722	-76.875556
Hartford, CT	41.7625	-72.674167
Haverhill, MA	42.783333	-71.083333
Holyoke Chicopee, MA	42.207222	-72.6075
Houston, TX	29.762778	-95.383056
Hudson Co., NJ	40.73	-74.08
Huntington, WV	38.41925	-82.445153
Charleston, WV	38.349819	-81.632622
Charlotte, NC	35.227222	-80.843056
Chattanooga, TN	35.033333	-85.266667
Chelsea, MA	42.391667	-71.033333
Chester, PA	39.847222	-75.372778
Chicago, IL	41.881944	-87.627778
Indianapolis, IN	39.768611	-86.158056
Jackson, MI	42.244167	-84.407222
Jackson, MS	32.298889	-90.184722
Jacksonville, FL	30.336944	-81.661389
Johnstown, PA	40.326111	-78.919444
Joliet, IL	41.529722	-88.072778
Kalamazoo, MI	42.29	-85.585833
Kenosha, WI	42.582222	-87.845556
Knoxville, TN	35.9617	-83.9232
