Year,holc_grade,n_obs,cumsum_n_obs,area_sum,sampling_density
1932,A,113,113,1282.2201636079528,0.08812839105730245
1933,A,56,56,1282.2201636079528,0.043674246895654315
1934,A,47,47,1282.2201636079528,0.03665517150170987
1935,A,38,38,1282.2201636079528,0.029636096107765426
1936,A,13,13,1282.2201636079528,0.010138664457919751
1937,A,30,30,1282.2201636079528,0.023396917979814812
1938,A,22,22,1282.2201636079528,0.017157739851864195
1939,A,17,17,1282.2201636079528,0.01325825352189506
1940,A,73,73,1282.2201636079528,0.056932500417549374
1941,A,40,40,1282.2201636079528,0.03119589063975308
1942,A,17,17,1282.2201636079528,0.01325825352189506
1943,A,2,2,1282.2201636079528,0.001559794531987654
1944,A,9,9,1282.2201636079528,0.0070190753939444435
1945,A,1,1,1282.2201636079528,7.79897265993827e-4
1946,A,12,12,1282.2201636079528,0.009358767191925924
1947,A,30,30,1282.2201636079528,0.023396917979814812
1948,A,5,5,1282.2201636079528,0.003899486329969135
1949,A,7,7,1282.2201636079528,0.005459280861956789
1950,A,57,57,1282.2201636079528,0.04445414416164814
1951,A,44,44,1282.2201636079528,0.03431547970372839
1952,A,13,13,1282.2201636079528,0.010138664457919751
1953,A,7,7,1282.2201636079528,0.005459280861956789
1954,A,118,118,1282.2201636079528,0.09202787738727158
1955,A,57,57,1282.2201636079528,0.04445414416164814
1956,A,97,97,1282.2201636079528,0.07565003480140123
1957,A,60,60,1282.2201636079528,0.046793835959629625
1958,A,233,233,1282.2201636079528,0.1817160629765617
1959,A,258,258,1282.2201636079528,0.20121349462640736
1960,A,368,368,1282.2201636079528,0.28700219388572834
1961,A,310,310,1282.2201636079528,0.2417681524580864
1962,A,178,178,1282.2201636079528,0.13882171334690122
1963,A,222,222,1282.2201636079528,0.1731371930506296
1964,A,179,179,1282.2201636079528,0.13960161061289503
1965,A,208,208,1282.2201636079528,0.16221863132671602
1966,A,120,120,1282.2201636079528,0.09358767191925925
1967,A,150,150,1282.2201636079528,0.11698458989907405
1968,A,243,243,1282.2201636079528,0.18951503563649996
