Year,holc_grade,n_obs,cumsum_n_obs,area_sum,sampling_density
1932,A,113,113,1282.2201636079528,0.08812839105730245
1933,A,56,169,1282.2201636079528,0.13180263795295677
1934,A,47,216,1282.2201636079528,0.16845780945466665
1935,A,38,254,1282.2201636079528,0.19809390556243206
1936,A,13,267,1282.2201636079528,0.2082325700203518
1937,A,30,297,1282.2201636079528,0.23162948800016664
1938,A,22,319,1282.2201636079528,0.24878722785203083
1939,A,17,336,1282.2201636079528,0.26204548137392586
1940,A,73,409,1282.2201636079528,0.31897798179147524
1941,A,40,449,1282.2201636079528,0.35017387243122833
1942,A,17,466,1282.2201636079528,0.3634321259531234
1943,A,2,468,1282.2201636079528,0.36499192048511103
1944,A,9,477,1282.2201636079528,0.3720109958790555
1945,A,1,478,1282.2201636079528,0.3727908931450493
1946,A,12,490,1282.2201636079528,0.38214966033697523
1947,A,30,520,1282.2201636079528,0.40554657831679003
1948,A,5,525,1282.2201636079528,0.4094460646467592
1949,A,7,532,1282.2201636079528,0.414905345508716
1950,A,57,589,1282.2201636079528,0.4593594896703641
1951,A,44,633,1282.2201636079528,0.4936749693740925
1952,A,13,646,1282.2201636079528,0.5038136338320123
1953,A,7,653,1282.2201636079528,0.5092729146939691
1954,A,118,771,1282.2201636079528,0.6013007920812407
1955,A,57,828,1282.2201636079528,0.6457549362428888
1956,A,97,925,1282.2201636079528,0.72140497104429
1957,A,60,985,1282.2201636079528,0.7681988070039196
1958,A,233,1218,1282.2201636079528,0.9499148699804814
1959,A,258,1476,1282.2201636079528,1.1511283646068886
1960,A,368,1844,1282.2201636079528,1.438130558492617
1961,A,310,2154,1282.2201636079528,1.6798987109507035
1962,A,178,2332,1282.2201636079528,1.8187204242976047
1963,A,222,2554,1282.2201636079528,1.9918576173482343
1964,A,179,2733,1282.2201636079528,2.131459227961129
1965,A,208,2941,1282.2201636079528,2.2936778592878455
1966,A,120,3061,1282.2201636079528,2.3872655312071047
1967,A,150,3211,1282.2201636079528,2.5042501211061787
1968,A,243,3454,1282.2201636079528,2.6937651567426784
1969,A,338,3792,1282.2201636079528,2.957370432648592
1970,A,411,4203,1282.2201636079528,3.277908208972055
1971,A,302,4505,1282.2201636079528,3.513437183302191
1972,A,840,5345,1282.2201636079528,4.168550886737005
1973,A,766,6111,1282.2201636079528,4.765952192488277
1974,A,679,6790,1282.2201636079528,5.295502436098086
1975,A,1645,8435,1282.2201636079528,6.578433438657931
1976,A,1295,9730,1282.2201636079528,7.588400398119937
1977,A,980,10710,1282.2201636079528,8.352699718793888
1978,A,782,11492,1282.2201636079528,8.96257938080106
1979,A,401,11893,1282.2201636079528,9.275318184464584
1980,A,528,12421,1282.2201636079528,9.687103940909326
1981,A,1639,14060,1282.2201636079528,10.965355559873208
1982,A,591,14651,1282.2201636079528,11.426274844075559
1983,A,587,15238,1282.2201636079528,11.884074539213936
1984,A,406,15644,1282.2201636079528,12.200712829207431
1985,A,551,16195,1282.2201636079528,12.63043622277003
1986,A,241,16436,1282.2201636079528,12.81839146387454
1987,A,449,16885,1282.2201636079528,13.16856533630577
1988,A,522,17407,1282.2201636079528,13.575671709154546
1989,A,489,17896,1282.2201636079528,13.957041472225528
1990,A,926,18822,1282.2201636079528,14.679226340535813
1991,A,707,19529,1282.2201636079528,15.230613707593449
1992,A,642,20171,1282.2201636079528,15.731307752361484
1993,A,986,21157,1282.2201636079528,16.5002864566314
1994,A,731,21888,1282.2201636079528,17.070391358072886
1995,A,734,22622,1282.2201636079528,17.642835951312357
1996,A,1134,23756,1282.2201636079528,18.527239450949356
